timestamp,chromeos_version,chrome_version,appid,track,hardware
2015-03-22 08:54:09.942080,6680.64.0,41.0.2272.89,9334BFCE-8C16-59D1-9274-AD14AC4EC0DE,stable-channel,HP Chromebook
2015-03-22 08:54:09.865360,6812.42.0,42.0.2311.50,9334BFCE-8C16-59D1-9274-AD14AC4EC0DE,beta-channel,HP Chromebook
2015-03-22 08:54:09.797690,6885.0.0,43.0.2334.0,9334BFCE-8C16-59D1-9274-AD14AC4EC0DE,dev-channel,HP Chromebook
2015-03-22 08:54:09.674420,6680.64.0,41.0.2272.89,C3EA54EB-348D-5118-8598-CFD6317AD268,stable-channel,HP Chromebox
2015-03-22 08:54:09.550570,6680.52.0,41.0.2272.74,C3EA54EB-348D-5118-8598-CFD6317AD268,beta-channel,HP Chromebox
2015-03-22 08:54:09.465640,6885.0.0,43.0.2334.0,C3EA54EB-348D-5118-8598-CFD6317AD268,dev-channel,HP Chromebox
2015-03-22 08:54:09.264810,6680.64.0,41.0.2272.89,D0DBB0D9-6EEB-B148-F8AF-AE8AF86ECE5B,stable-channel,Lenovo ThinkPad 11e Chromebook
2015-03-22 08:54:08.990160,6812.42.0,42.0.2311.50,D0DBB0D9-6EEB-B148-F8AF-AE8AF86ECE5B,beta-channel,Lenovo ThinkPad 11e Chromebook
2015-03-22 08:54:08.869280,6797.0.0,42.0.2305.2,D0DBB0D9-6EEB-B148-F8AF-AE8AF86ECE5B,dev-channel,Lenovo ThinkPad 11e Chromebook
2015-03-22 08:54:08.798320,6680.64.0,41.0.2272.89,BBCEB6C1-5567-09B4-1619-DAD125AC892D,stable-channel,Lenovo N20 Chromebook
2015-03-22 08:54:08.679870,6812.34.0,42.0.2311.41,BBCEB6C1-5567-09B4-1619-DAD125AC892D,beta-channel,Lenovo N20 Chromebook
2015-03-22 08:54:08.554010,6797.0.0,42.0.2305.2,BBCEB6C1-5567-09B4-1619-DAD125AC892D,dev-channel,Lenovo N20 Chromebook
2015-03-22 08:54:08.438290,6680.64.0,41.0.2272.89,777CE760-E315-FF86-2837-D51D10BA7C52,stable-channel,Asus Chromebook C200
2015-03-22 08:54:08.367090,6812.42.0,42.0.2311.50,777CE760-E315-FF86-2837-D51D10BA7C52,beta-channel,Asus Chromebook C200
2015-03-22 08:54:08.251820,6797.0.0,42.0.2305.2,777CE760-E315-FF86-2837-D51D10BA7C52,dev-channel,Asus Chromebook C200
2015-03-22 08:54:08.065420,6680.64.0,41.0.2272.89,A772AA64-E906-A01E-1DFD-1856870D39EC,stable-channel,Asus Chromebook C300
2015-03-22 08:54:07.819120,6812.42.0,42.0.2311.50,A772AA64-E906-A01E-1DFD-1856870D39EC,beta-channel,Asus Chromebook C300
2015-03-22 08:54:07.748830,6797.0.0,42.0.2305.2,A772AA64-E906-A01E-1DFD-1856870D39EC,dev-channel,Asus Chromebook C300
2015-03-22 08:54:07.627800,6680.64.0,41.0.2272.89,BB86912A-29BE-A59B-31EF-8F4DD1C023E2,stable-channel,Educational Chromebook
2015-03-22 08:54:07.498060,6812.34.0,42.0.2311.41,BB86912A-29BE-A59B-31EF-8F4DD1C023E2,beta-channel,Educational Chromebook
2015-03-22 08:54:07.378470,6797.0.0,42.0.2305.2,BB86912A-29BE-A59B-31EF-8F4DD1C023E2,dev-channel,Educational Chromebook
2015-03-22 08:54:07.290720,6680.64.0,41.0.2272.89,24E2E4F7-F92C-6115-3E26-02C7EAA02946,stable-channel,Samsung Chromebook 2 (11")
2015-03-22 08:54:07.218560,6812.42.0,42.0.2311.50,24E2E4F7-F92C-6115-3E26-02C7EAA02946,beta-channel,Samsung Chromebook 2 (11")
2015-03-22 08:54:07.138600,6885.0.0,43.0.2334.0,24E2E4F7-F92C-6115-3E26-02C7EAA02946,dev-channel,Samsung Chromebook 2 (11")
2015-03-22 08:54:07.012210,6680.64.0,41.0.2272.89,5615D466-EF74-FCD0-46EA-D7F60416B3CD,stable-channel,Samsung Chromebook 2 (13")
2015-03-22 08:54:06.629830,6812.42.0,42.0.2311.50,5615D466-EF74-FCD0-46EA-D7F60416B3CD,beta-channel,Samsung Chromebook 2 (13")
2015-03-22 08:54:06.511920,6885.0.0,43.0.2334.0,5615D466-EF74-FCD0-46EA-D7F60416B3CD,dev-channel,Samsung Chromebook 2 (13")
2015-03-22 08:54:06.440260,6680.64.0,41.0.2272.89,D3844706-6B0E-78DF-752C-00DCDF11E04B,stable-channel,Toshiba Chromebook
2015-03-22 08:54:06.325190,6680.52.0,41.0.2272.74,D3844706-6B0E-78DF-752C-00DCDF11E04B,beta-channel,Toshiba Chromebook
2015-03-22 08:54:06.203880,6885.0.0,43.0.2334.0,D3844706-6B0E-78DF-752C-00DCDF11E04B,dev-channel,Toshiba Chromebook
2015-03-22 08:54:06.082800,6680.64.0,41.0.2272.89,C0E4276B-35C7-023D-BB4A-42D642B91E65,stable-channel,Asus Chromebox
2015-03-22 08:54:06.010220,6680.52.0,41.0.2272.74,C0E4276B-35C7-023D-BB4A-42D642B91E65,beta-channel,Asus Chromebox
2015-03-22 08:54:05.940550,6885.0.0,43.0.2334.0,C0E4276B-35C7-023D-BB4A-42D642B91E65,dev-channel,Asus Chromebox
2015-03-22 08:54:05.870810,6680.64.0,41.0.2272.89,FF9048C6-F61C-BDDD-C861-4EDCAC22C55A,stable-channel,LG Chromebase
2015-03-22 08:54:05.791400,6680.52.0,41.0.2272.74,FF9048C6-F61C-BDDD-C861-4EDCAC22C55A,beta-channel,LG Chromebase
2015-03-22 08:54:05.433570,6885.0.0,43.0.2334.0,FF9048C6-F61C-BDDD-C861-4EDCAC22C55A,dev-channel,LG Chromebase
2015-03-22 08:54:05.363010,6680.64.0,41.0.2272.89,1E454867-ACF6-5F8B-091F-145680D4A7F5,stable-channel,Dell Chromebook 11
2015-03-22 08:54:05.296050,6680.52.0,41.0.2272.74,1E454867-ACF6-5F8B-091F-145680D4A7F5,beta-channel,Dell Chromebook 11
2015-03-22 08:54:05.179240,6885.0.0,43.0.2334.0,1E454867-ACF6-5F8B-091F-145680D4A7F5,dev-channel,Dell Chromebook 11
2015-03-22 08:54:05.062620,6680.64.0,41.0.2272.89,E6710DFC-3EC0-42AE-8095-733FDEA6AF18,stable-channel,Acer C720 Chromebook
2015-03-22 08:54:04.988970,6680.52.0,41.0.2272.74,E6710DFC-3EC0-42AE-8095-733FDEA6AF18,beta-channel,Acer C720 Chromebook
2015-03-22 08:54:04.914630,6885.0.0,43.0.2334.0,E6710DFC-3EC0-42AE-8095-733FDEA6AF18,dev-channel,Acer C720 Chromebook
2015-03-22 08:54:04.799730,6680.64.0,41.0.2272.89,ADA16F7B-283C-4907-AE27-ABBF5CA4F7F1,stable-channel,HP Chromebook 11
2015-03-22 08:54:04.731860,6812.42.0,42.0.2311.50,ADA16F7B-283C-4907-AE27-ABBF5CA4F7F1,beta-channel,HP Chromebook 11
2015-03-22 08:54:04.498360,6885.0.0,43.0.2334.0,ADA16F7B-283C-4907-AE27-ABBF5CA4F7F1,dev-channel,HP Chromebook 11
2015-03-22 08:54:04.219120,6680.64.0,41.0.2272.89,FA5D6766-6B3C-47C8-84DD-6A322C311569,stable-channel,HP Chromebook 14
2015-03-22 08:54:04.102310,6680.52.0,41.0.2272.74,FA5D6766-6B3C-47C8-84DD-6A322C311569,beta-channel,HP Chromebook 14
2015-03-22 08:54:03.983290,6885.0.0,43.0.2334.0,FA5D6766-6B3C-47C8-84DD-6A322C311569,dev-channel,HP Chromebook 14
2015-03-22 08:54:03.912880,6680.64.0,41.0.2272.89,F26D159B-52A3-491A-AE25-B23670A66B32,stable-channel,Google Chromebook Pixel
2015-03-22 08:54:03.844280,6680.52.0,41.0.2272.74,F26D159B-52A3-491A-AE25-B23670A66B32,beta-channel,Google Chromebook Pixel
2015-03-22 08:54:03.729130,6885.0.0,43.0.2334.0,F26D159B-52A3-491A-AE25-B23670A66B32,dev-channel,Google Chromebook Pixel
2015-03-22 08:54:03.612870,6680.64.0,41.0.2272.89,6988C65F-7119-4DF2-8064-2E286F4748D4,stable-channel,Lenovo Thinkpad X131e Chromebook
2015-03-22 08:54:03.547370,6812.42.0,42.0.2311.50,6988C65F-7119-4DF2-8064-2E286F4748D4,beta-channel,Lenovo Thinkpad X131e Chromebook
2015-03-22 08:54:03.329610,6797.0.0,42.0.2305.2,6988C65F-7119-4DF2-8064-2E286F4748D4,dev-channel,Lenovo Thinkpad X131e Chromebook
2015-03-22 08:54:03.085810,6680.64.0,41.0.2272.89,6372E332-9A26-4CE3-9C39-93D8A4E383AF,stable-channel,HP Pavilion Chromebook
2015-03-22 08:54:03.014030,6812.42.0,42.0.2311.50,6372E332-9A26-4CE3-9C39-93D8A4E383AF,beta-channel,HP Pavilion Chromebook
2015-03-22 08:54:02.896890,6797.0.0,42.0.2305.2,6372E332-9A26-4CE3-9C39-93D8A4E383AF,dev-channel,HP Pavilion Chromebook
2015-03-22 08:54:02.781060,6680.64.0,41.0.2272.89,9D137383-EB72-4BA9-A523-91AC0853F8AD,stable-channel,Acer C7
2015-03-22 08:54:02.713050,6812.42.0,42.0.2311.50,9D137383-EB72-4BA9-A523-91AC0853F8AD,beta-channel,Acer C7
2015-03-22 08:54:02.641710,6797.0.0,42.0.2305.2,9D137383-EB72-4BA9-A523-91AC0853F8AD,dev-channel,Acer C7
2015-03-22 08:54:02.572150,6680.64.0,41.0.2272.89,D851316B-7E57-4805-A7CE-01829AC1443E,stable-channel,Samsung Chromebook
2015-03-22 08:54:02.504140,6812.44.0,42.0.2311.50,D851316B-7E57-4805-A7CE-01829AC1443E,beta-channel,Samsung Chromebook
2015-03-22 08:54:02.437530,6885.0.0,43.0.2334.0,D851316B-7E57-4805-A7CE-01829AC1443E,dev-channel,Samsung Chromebook
2015-03-22 08:54:02.372010,6680.64.0,41.0.2272.89,A854E62E-9CB3-4DBE-8BBE-88C48FD65787,stable-channel,Samsung Chromebook Series 5 550
2015-03-22 08:54:02.141930,6812.42.0,42.0.2311.50,A854E62E-9CB3-4DBE-8BBE-88C48FD65787,beta-channel,Samsung Chromebook Series 5 550
2015-03-22 08:54:01.866240,6797.0.0,42.0.2305.2,A854E62E-9CB3-4DBE-8BBE-88C48FD65787,dev-channel,Samsung Chromebook Series 5 550
2015-03-22 08:54:01.793770,6680.64.0,41.0.2272.89,2EE05B2F-3769-43B9-B78C-792F4A027971,stable-channel,Samsung Chromebox Series 3
2015-03-22 08:54:01.712580,6812.42.0,42.0.2311.50,2EE05B2F-3769-43B9-B78C-792F4A027971,beta-channel,Samsung Chromebox Series 3
2015-03-22 08:54:01.641430,6797.0.0,42.0.2305.2,2EE05B2F-3769-43B9-B78C-792F4A027971,dev-channel,Samsung Chromebox Series 3
2015-03-22 08:54:01.570250,6680.64.0,41.0.2272.89,23F5C60F-7655-4BF4-90FB-BFDE16408308,stable-channel,Acer AC700 - He
2015-03-22 08:54:01.490690,6812.42.0,42.0.2311.50,23F5C60F-7655-4BF4-90FB-BFDE16408308,beta-channel,Acer AC700 - He
2015-03-22 08:54:01.373710,6885.0.0,43.0.2334.0,23F5C60F-7655-4BF4-90FB-BFDE16408308,dev-channel,Acer AC700 - He
2015-03-22 08:54:01.247830,6680.64.0,41.0.2272.89,23F5C60F-7655-4BF4-90FB-BFDE16408308,stable-channel,Acer AC700
2015-03-22 08:54:01.130450,6812.42.0,42.0.2311.50,23F5C60F-7655-4BF4-90FB-BFDE16408308,beta-channel,Acer AC700
2015-03-22 08:54:00.726990,6885.0.0,43.0.2334.0,23F5C60F-7655-4BF4-90FB-BFDE16408308,dev-channel,Acer AC700
2015-03-22 08:54:00.645570,6680.64.0,41.0.2272.89,C776D42E-287A-435E-8BA7-E770BD30B46D,stable-channel,Samsung Series 5 - He
2015-03-22 08:54:00.529430,6812.42.0,42.0.2311.50,C776D42E-287A-435E-8BA7-E770BD30B46D,beta-channel,Samsung Series 5 - He
2015-03-22 08:54:00.413730,6885.0.0,43.0.2334.0,C776D42E-287A-435E-8BA7-E770BD30B46D,dev-channel,Samsung Series 5 - He
2015-03-22 08:54:00.342520,6680.64.0,41.0.2272.89,C776D42E-287A-435E-8BA7-E770BD30B46D,stable-channel,Samsung Series 5
2015-03-22 08:54:00.227060,6812.42.0,42.0.2311.50,C776D42E-287A-435E-8BA7-E770BD30B46D,beta-channel,Samsung Series 5
2015-03-22 08:54:00.107540,6885.0.0,43.0.2334.0,C776D42E-287A-435E-8BA7-E770BD30B46D,dev-channel,Samsung Series 5
2015-03-22 08:54:00.030530,6680.64.0,41.0.2272.89,87efface-864d-49a5-9bb3-4b050a7c227a,stable-channel,CR-48
2015-03-22 08:53:59.916410,6812.42.0,42.0.2311.50,87efface-864d-49a5-9bb3-4b050a7c227a,beta-channel,CR-48
